Temporalidad,Tasa de búsqueda
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,53
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,58
2019-11-03,58
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,57
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,73
2020-03-29,0
2020-04-05,55
2020-04-12,0
2020-04-19,0
2020-04-26,70
2020-05-03,54
2020-05-10,70
2020-05-17,0
2020-05-24,53
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,63
2020-06-28,0
2020-07-05,0
2020-07-12,48
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,61
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,46
2020-09-20,46
2020-09-27,62
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,45
2020-11-01,48
2020-11-08,63
2020-11-15,80
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,62
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,49
2021-03-28,52
2021-04-04,0
2021-04-11,0
2021-04-18,48
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,64
2021-05-23,52
2021-05-30,58
2021-06-06,0
2021-06-13,48
2021-06-20,52
2021-06-27,49
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,67
2021-08-15,46
2021-08-22,0
2021-08-29,52
2021-09-05,0
2021-09-12,0
2021-09-19,56
2021-09-26,0
2021-10-03,0
2021-10-10,56
2021-10-17,0
2021-10-24,60
2021-10-31,0
2021-11-07,0
2021-11-14,57
2021-11-21,56
2021-11-28,57
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,100
2022-01-16,0
2022-01-23,0
2022-01-30,69
2022-02-06,0
2022-02-13,0
2022-02-20,45
2022-02-27,0
2022-03-06,42
2022-03-13,62
2022-03-20,0
2022-03-27,80
2022-04-03,44
2022-04-10,0
2022-04-17,40
2022-04-24,41
2022-05-01,43
2022-05-08,62
2022-05-15,44
2022-05-22,44
2022-05-29,52
2022-06-05,0
2022-06-12,0
2022-06-19,66
2022-06-26,66
2022-07-03,44
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,75
2022-08-07,64
2022-08-14,48
2022-08-21,0
2022-08-28,47
2022-09-04,49
2022-09-11,43
2022-09-18,62
2022-09-25,45
2022-10-02,0
2022-10-09,0
2022-10-16,40
2022-10-23,0
2022-10-30,53
2022-11-06,49
2022-11-13,92
2022-11-20,0
2022-11-27,51
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,53
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,44
2023-03-05,0
2023-03-12,58
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,64
2023-04-16,71
2023-04-23,67
2023-04-30,40
2023-05-07,46
2023-05-14,54
2023-05-21,58
2023-05-28,61
2023-06-04,47
2023-06-11,54
2023-06-18,56
2023-06-25,76
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,49
2023-07-30,0
2023-08-06,0
2023-08-13,50
2023-08-20,50
2023-08-27,0
2023-09-03,0
2023-09-10,66
2023-09-17,45
2023-09-24,0
2023-10-01,50
2023-10-08,0
2023-10-15,46
2023-10-22,52
2023-10-29,0
2023-11-05,72
2023-11-12,51
2023-11-19,97
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,73
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,98
2024-05-05,90
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,33
2024-06-16,53
2024-06-23,51
